year_month,ec_topic_0,ec_topic_1,ec_topic_2,ec_topic_3,ec_topic_4,ec_topic_5,ec_topic_6,ec_topic_7,ec_topic_8,ec_topic_9,wh_topic_0,wh_topic_1,wh_topic_2,wh_topic_3,wh_topic_4,wh_topic_5,wh_topic_6,wh_topic_7,wh_topic_8,wh_topic_9
2021-01,0.03459318,0.012938007,0.103568465,0.07153293,0.009015465,0.060374964,0.22575374,0.01054823,0.4709294,0.00074560865,0.18469132,0.0715492,0.11181074,0.06356449,0.20381477,0.08585037,0.08625017,0.09899794,0.036861964,0.056609053
2021-02,0.04128547,0.0003664081,0.111321524,0.06729689,0.002788278,0.031873595,0.22793642,0.004866493,0.5001071,0.012157806,0.14754449,0.10946116,0.105398685,0.07807384,0.17278434,0.086187124,0.1306109,0.10937951,0.013621067,0.046938915
2021-03,0.073782854,0.0049528214,0.091856845,0.05962294,0.004433608,0.053680193,0.15533958,0.031354036,0.5106284,0.014348699,0.13898657,0.13065377,0.13915275,0.109789796,0.1232377,0.051607244,0.12543032,0.10645377,0.018302387,0.056385744
2021-04,0.05071477,0.011840646,0.09034893,0.078292176,0.015730245,0.03718696,0.1586864,0.04390455,0.50696874,0.006326567,0.120984666,0.16194676,0.12338706,0.08950306,0.13400978,0.065055035,0.10293725,0.10007138,0.024530914,0.07757391
2021-05,0.1086163,0.0013790523,0.08974714,0.07286945,0.0076038945,0.050665714,0.17941041,0.0054941843,0.4763823,0.007831558,0.12719858,0.10402488,0.13706818,0.08641516,0.15759742,0.104986854,0.091816455,0.1018961,0.018740898,0.07025538
2021-06,0.04161343,0.008554666,0.06505034,0.07437806,0.018743152,0.019554038,0.09262867,0.026312478,0.6468806,0.006284524,0.18387637,0.1169007,0.14710705,0.088870324,0.12647751,0.076375134,0.067508556,0.10927344,0.024228653,0.059382163
2021-07,0.024989098,0.009268111,0.100273214,0.06276744,0.021343857,0.02871615,0.098504655,0.02224381,0.6231281,0.008765561,0.1256761,0.16585138,0.1334049,0.11231596,0.13229525,0.07021896,0.072388105,0.1141957,0.011747873,0.061905663
2021-08,0.005789539,0.0042292243,0.03270227,0.017348336,0.039820846,0.03502283,0.095097795,0.0065686363,0.7608768,0.002543744,0.112407885,0.14405946,0.11157099,0.061898336,0.17019162,0.10476357,0.10713358,0.07673968,0.015164088,0.09607077
2021-09,0.058831926,0.007352138,0.050413698,0.06868404,0.043103226,0.02494628,0.062334392,0.02141935,0.66134995,0.0015648804,0.17218873,0.12735695,0.10986954,0.08336803,0.15669443,0.085951224,0.070847504,0.095312096,0.044123434,0.054288033
2021-10,0.076387696,0.008203654,0.07713843,0.041560844,0.015779171,0.05671286,0.06679858,0.04576255,0.6025289,0.009127412,0.1829221,0.122311115,0.12232749,0.100965515,0.1344856,0.0660581,0.061873812,0.101649694,0.032123897,0.075282484
2021-11,0.08751018,0.0075300103,0.07349336,0.08518121,0.01035796,0.09112854,0.091261625,0.019747358,0.5242049,0.009584887,0.14021641,0.11939593,0.13000803,0.11977352,0.10066129,0.051775064,0.0875809,0.09634793,0.03715737,0.11708341
2021-12,0.084602594,0.011172283,0.069013104,0.05373881,0.019082911,0.05546326,0.16161633,0.011825187,0.52515644,0.008329046,0.11085991,0.12047502,0.12128196,0.096892565,0.15872502,0.089992374,0.107745185,0.10786175,0.013726968,0.07243915
2022-01,0.031087518,0.018918576,0.2267488,0.054644868,0.009342886,0.13578114,0.04480706,0.018802367,0.44744053,0.012426319,0.10191441,0.15032145,0.11085034,0.08644526,0.14690283,0.1111608,0.060332805,0.114459254,0.022922536,0.094690375
2022-02,0.06867798,0.008687438,0.06459592,0.06085791,0.013229227,0.24907562,0.052867055,0.025647083,0.44973725,0.0066243755,0.07349072,0.12654532,0.08279888,0.06038276,0.15052749,0.24776754,0.039164193,0.12180136,0.024962606,0.07255923
2022-03,0.05555673,0.0033334282,0.057489797,0.06363235,0.039999798,0.28476125,0.032744173,0.010630422,0.43919638,0.012655663,0.09096469,0.10098549,0.111849576,0.08235355,0.16807844,0.21268256,0.036407627,0.082723096,0.03489297,0.079061925
2022-04,0.09557404,0.020350529,0.03410614,0.071706474,0.027177189,0.21924806,0.03558334,0.015910229,0.47597697,0.0043669725,0.1415103,0.12400324,0.11571063,0.08441548,0.1562993,0.13234131,0.038040925,0.09102857,0.02177343,0.09487676
2022-05,0.068394125,0.006302087,0.055196576,0.06278904,0.024474321,0.1844954,0.049631447,0.024518752,0.5059334,0.018264754,0.15454857,0.12778221,0.15244624,0.101086445,0.12065141,0.12729624,0.044587232,0.08351201,0.023448374,0.06464135
2022-06,0.07887106,0.00844356,0.05830221,0.05724892,0.009450735,0.13455588,0.037904732,0.031251006,0.5763906,0.0075812032,0.14848356,0.109435916,0.1444637,0.0982695,0.16292344,0.088645205,0.04269536,0.0875371,0.044544674,0.07300148
2022-07,0.040659033,0.019017035,0.050195694,0.07535151,0.00435347,0.20436814,0.023153841,0.028081201,0.5472148,0.007605339,0.13565113,0.12891415,0.17993033,0.088137224,0.14508796,0.0740549,0.050786193,0.0945454,0.022889802,0.08000286
2022-08,0.0009119842,0.00711456,0.19548655,0.122371085,0.0005451683,0.23302199,0.0030746332,0.0011321707,0.43449882,0.0018429906,0.06879024,0.11932891,0.17835987,0.08087829,0.14092268,0.094544046,0.07555116,0.075913474,0.017355625,0.14835571
2022-09,0.044337973,0.0141985165,0.090337776,0.06563192,0.035994176,0.15672684,0.066337705,0.014192396,0.47318208,0.039060578,0.13868098,0.1286202,0.15914452,0.12535428,0.12617506,0.091074094,0.042237297,0.076889746,0.030696208,0.08112749
2022-10,0.03181762,0.011456458,0.038718186,0.11058092,0.009165465,0.17634177,0.04511689,0.04615441,0.514723,0.015925229,0.101504244,0.08377043,0.1512055,0.16821289,0.12613769,0.10316862,0.0355835,0.08772612,0.018916685,0.123774245
2022-11,0.11420561,0.011946423,0.033874024,0.058761228,0.023426088,0.13541508,0.016095359,0.007572924,0.59128934,0.0074138422,0.17603543,0.07162429,0.15940677,0.14270574,0.12201665,0.11087845,0.012564295,0.083552845,0.05449177,0.066723734
