date,ec_topic_0,ec_topic_1,ec_topic_2,ec_topic_3,ec_topic_4,ec_topic_5,ec_topic_6,ec_topic_7,ec_topic_8,ec_topic_9,wh_topic_0,wh_topic_1,wh_topic_2,wh_topic_3,wh_topic_4,wh_topic_5,wh_topic_6,wh_topic_7,wh_topic_8,wh_topic_9
2021-02,0.03346681,0.00046070572,0.15755159,0.07880465,0.00046069495,0.04940424,0.19692408,0.00046070112,0.48200583,0.00046070636,0.012445111,0.04747893,0.00015158039,0.00015157902,0.53543407,0.00015156,0.4037325,0.00015156296,0.00015156872,0.00015157415
2021-03,0.014061855,0.033257987,0.055743184,0.10312618,0.0055622915,0.12837547,0.15769684,0.019543521,0.4818883,0.00074441434,0.20584096,0.07110062,0.162047,0.044287566,0.2125242,0.058837496,0.062934496,0.083829366,0.035737883,0.062860385
2021-04,0.029037341,0.0007899203,0.10574289,0.055863168,0.015802367,0.0054694265,0.26908693,0.0007899712,0.5166281,0.0007899371,0.18458563,0.036815424,0.07342438,0.0914732,0.19386034,0.105733,0.10580653,0.11254783,0.043175418,0.052578274
2021-05,0.020462673,0.0003869134,0.30164415,0.11567297,0.00038693022,0.0003869121,0.13326176,0.00084898935,0.41421485,0.012733846,0.18268469,0.1592054,0.10576125,0.057061817,0.1722366,0.08512801,0.06420786,0.13306148,0.00639906,0.034253787
2021-06,0.00046080936,0.00046078613,0.054071516,0.035819594,0.00046080057,0.10160234,0.21006256,0.00046082164,0.59465456,0.0019462095,0.10006525,0.12068424,0.12415172,0.109431885,0.110069536,0.06281366,0.174197,0.13723892,0.022532986,0.038814776
2021-07,0.07309649,0.00030725263,0.03976036,0.042533867,0.008583324,0.00899431,0.33700716,0.00030723523,0.47531605,0.014093941,0.1593552,0.07448071,0.12656413,0.054102696,0.23908547,0.093125395,0.10113839,0.09259934,0.007801977,0.05174663
2021-08,0.050249808,0.00035253254,0.06511722,0.072004534,0.00035254023,0.038170345,0.20551698,0.015313676,0.5369767,0.015945647,0.13760614,0.11765722,0.061341874,0.08883642,0.15868618,0.09946531,0.16853622,0.09114655,0.017111834,0.059612203
2021-09,0.13498424,0.010526872,0.21066429,0.10742102,0.014960966,0.07087242,0.048729464,0.00038406302,0.36087266,0.040583994,0.17090258,0.10019789,0.09704507,0.108033285,0.15830228,0.0688258,0.12362719,0.09038216,0.009258567,0.073425174
2021-10,0.06570682,0.008420315,0.12873551,0.057967294,0.004602524,0.034826186,0.14794272,0.03525276,0.5077367,0.008809161,0.14225993,0.13590042,0.16914123,0.09059547,0.11711488,0.051330656,0.13611217,0.09568833,0.010850662,0.051006228
2021-11,0.00093932153,0.0009394044,0.09657729,0.090655886,0.0009392742,0.07049506,0.13970238,0.007890411,0.5861899,0.0056710714,0.12918507,0.16682674,0.19247976,0.090229616,0.073317334,0.046746064,0.14225873,0.09512074,0.01934285,0.044493116
2021-12,0.11133304,0.00040130015,0.015012363,0.04731786,0.0019774726,0.047052477,0.21235436,0.03821434,0.5161142,0.010222596,0.12022652,0.14528677,0.14882042,0.15815766,0.07615653,0.053003598,0.09528818,0.13717537,0.034615193,0.031269714
2021-13,0.05332629,0.010177215,0.0005360765,0.00053605426,0.0026994569,0.06950889,0.21508287,0.021142678,0.58997166,0.03701881,0.11973306,0.09592992,0.0736393,0.0917872,0.19517566,0.05302279,0.13657132,0.13256972,0.012165436,0.08940564
2021-14,0.13879532,0.00025079062,0.052813392,0.0002508112,0.121807545,0.039344344,0.1159116,0.056422655,0.47415274,0.00025080168,0.079570666,0.13553582,0.18200912,0.12588051,0.13775021,0.073131554,0.11158556,0.102420546,0.0061748577,0.045941185
2021-15,0.0006668992,0.0006668311,0.039482877,0.00066694285,0.0006668743,0.0006668962,0.6228508,0.0006668857,0.33299807,0.00066690287,0.14953443,0.17616947,0.08584144,0.08156202,0.11234407,0.094810635,0.10050715,0.1110296,0.0091911275,0.07901005
2021-16,0.052067317,0.007527529,0.06666343,0.0831411,0.0050873356,0.028373215,0.17178245,0.028504904,0.5453073,0.011545475,0.14831951,0.15137237,0.15286817,0.07533757,0.12738393,0.038818996,0.072497904,0.07746633,0.07213181,0.08380331
2021-17,0.027732698,0.024752945,0.15079287,0.109302275,0.0005972483,0.056952924,0.07381396,0.07252476,0.48293307,0.0005972248,0.08243301,0.19119605,0.09610738,0.08061979,0.18307877,0.05005555,0.120231114,0.08975684,0.008895471,0.09762598
2021-18,0.080909394,0.00034452375,0.05903433,0.10538157,0.00034452634,0.048798513,0.18159708,0.009236339,0.5095645,0.0047892155,0.10825837,0.035397306,0.15145773,0.09524614,0.24291086,0.053254943,0.14064643,0.08362147,0.0028422077,0.0863645
2021-19,0.029715491,0.00042706967,0.4497631,0.13165921,0.0004271163,0.10734297,0.00042712459,0.01594928,0.2638616,0.00042707782,0.09927229,0.12639639,0.07243214,0.07066342,0.20628807,0.12488825,0.105051,0.11436029,0.013471041,0.06717712
2021-20,0.16821635,0.002978752,0.036350127,0.028833413,0.010180136,0.0034536035,0.2916871,0.00034042803,0.44532326,0.012636787,0.16459955,0.09323445,0.11241391,0.07685552,0.12529942,0.14136292,0.08535227,0.10490951,0.027272528,0.068699986
2021-21,0.080990516,0.0006928658,0.12161153,0.051315032,0.013283557,0.10306541,0.09089184,0.0064350185,0.52449757,0.007216649,0.14295895,0.138867,0.18701726,0.09763158,0.08122122,0.094709925,0.05793523,0.10396441,0.028621677,0.067072704
2021-22,0.12542467,0.0031354271,0.04868805,0.068010874,0.008434877,0.017391816,0.12422721,0.00040318852,0.57284003,0.03144383,0.21802221,0.08890981,0.14549777,0.052929673,0.15490264,0.05221165,0.11406594,0.11489804,0.00376235,0.0547999
2021-23,0.08740369,0.00022868079,0.01755924,0.077740766,0.064325586,0.0065272194,0.16197021,0.035506014,0.5485099,0.00022868397,0.24466637,0.10322526,0.13176931,0.057504814,0.11520266,0.09004424,0.056505434,0.103237085,0.025033167,0.07281173
2021-24,0.041631185,0.01064353,0.06125849,0.0648114,0.011148444,0.020809967,0.086311616,0.030719807,0.66992176,0.0027438104,0.19933684,0.11705391,0.16578025,0.118342794,0.061938617,0.116461225,0.06582384,0.08839537,0.047955595,0.018911505
2021-25,0.00049810903,0.004528286,0.07488771,0.09498219,0.014898502,0.02297623,0.042769074,0.03249761,0.71146417,0.00049809535,0.09665654,0.15677863,0.17114878,0.102216214,0.15636787,0.042447448,0.06228593,0.12543051,0.014204374,0.07246372
2021-26,0.00040879878,0.019931313,0.051011097,0.08406404,0.03577267,0.04033977,0.122735925,0.016777327,0.62855023,0.00040878312,0.12597069,0.106902316,0.13860299,0.16092178,0.12913288,0.054068957,0.06394498,0.11676821,0.018352596,0.08533464
2021-27,0.04129058,0.001157459,0.05327791,0.07143023,0.017304894,0.047092482,0.1348125,0.036594465,0.59566367,0.0013757924,0.09618361,0.11725026,0.10583244,0.112349,0.1502317,0.14014488,0.06921391,0.13091928,0.008521466,0.06935349
2021-28,0.00836071,0.014483902,0.20707615,0.10831083,0.007246646,0.0029794646,0.024786016,0.008245442,0.6085579,0.00995292,0.17353939,0.1441398,0.18026143,0.07916316,0.10004173,0.06171046,0.07061783,0.10312872,0.02015408,0.06724341
2021-29,0.03265351,0.03947192,0.04306017,0.015340405,0.031160958,0.01917612,0.14183414,0.025706585,0.60859513,0.043001078,0.13034856,0.21543162,0.07504435,0.12805371,0.15087615,0.074236214,0.06720012,0.10987781,0.0044729128,0.04445857
2021-30,0.026584458,0.0012211476,0.19378236,0.0012211936,0.048297253,0.0012213221,0.16437711,0.001221214,0.56085277,0.0012211975,0.11326019,0.17914866,0.15901852,0.09253555,0.15108253,0.044918124,0.07545677,0.11511981,0.012272461,0.05718743
2021-31,0.00040530256,0.008056764,0.00040528705,0.0004052916,0.05461008,0.00040529226,0.13679744,0.00040529948,0.7979989,0.00051030016,0.09787179,0.20035182,0.1348537,0.06198702,0.14423311,0.048479296,0.105099924,0.06676694,0.017189909,0.123166434
2021-32,0.00036206533,0.00036214077,0.00036212264,0.0003621006,0.034081027,0.0003620723,0.00036211187,0.030160898,0.9194925,0.0140929865,0.12512773,0.17253092,0.11945053,0.06174701,0.14610532,0.069168985,0.0926658,0.036054205,0.019122377,0.15802707
2021-33,0.007504558,0.0052119037,0.06468391,0.04813804,0.041859847,0.047137804,0.02266148,0.0014985435,0.760947,0.0003569395,0.087772384,0.14238398,0.061571456,0.024341384,0.16816737,0.22374125,0.09469146,0.05729829,0.018049447,0.121982954
