year_month,wh_topic_0,wh_topic_1,wh_topic_2,wh_topic_3,wh_topic_4,wh_topic_5,wh_topic_6,wh_topic_7,wh_topic_8,wh_topic_9
2021-01,0.18469132,0.0715492,0.11181074,0.06356449,0.20381477,0.08585037,0.08625017,0.09899794,0.036861964,0.056609053
2021-02,0.14754449,0.10946116,0.105398685,0.07807384,0.17278434,0.086187124,0.1306109,0.10937951,0.013621067,0.046938915
2021-03,0.13898657,0.13065377,0.13915275,0.109789796,0.1232377,0.051607244,0.12543032,0.10645377,0.018302387,0.056385744
2021-04,0.120984666,0.16194676,0.12338706,0.08950306,0.13400978,0.065055035,0.10293725,0.10007138,0.024530914,0.07757391
2021-05,0.12719858,0.10402488,0.13706818,0.08641516,0.15759742,0.104986854,0.091816455,0.1018961,0.018740898,0.07025538
2021-06,0.18387637,0.1169007,0.14710705,0.088870324,0.12647751,0.076375134,0.067508556,0.10927344,0.024228653,0.059382163
2021-07,0.1256761,0.16585138,0.1334049,0.11231596,0.13229525,0.07021896,0.072388105,0.1141957,0.011747873,0.061905663
2021-08,0.112407885,0.14405946,0.11157099,0.061898336,0.17019162,0.10476357,0.10713358,0.07673968,0.015164088,0.09607077
2021-09,0.17218873,0.12735695,0.10986954,0.08336803,0.15669443,0.085951224,0.070847504,0.095312096,0.044123434,0.054288033
2021-10,0.1829221,0.122311115,0.12232749,0.100965515,0.1344856,0.0660581,0.061873812,0.101649694,0.032123897,0.075282484
2021-11,0.14021641,0.11939593,0.13000803,0.11977352,0.10066129,0.051775064,0.0875809,0.09634793,0.03715737,0.11708341
2021-12,0.11085991,0.12047502,0.12128196,0.096892565,0.15872502,0.089992374,0.107745185,0.10786175,0.013726968,0.07243915
2022-01,0.10191441,0.15032145,0.11085034,0.08644526,0.14690283,0.1111608,0.060332805,0.114459254,0.022922536,0.094690375
2022-02,0.07349072,0.12654532,0.08279888,0.06038276,0.15052749,0.24776754,0.039164193,0.12180136,0.024962606,0.07255923
2022-03,0.09096469,0.10098549,0.111849576,0.08235355,0.16807844,0.21268256,0.036407627,0.082723096,0.03489297,0.079061925
2022-04,0.1415103,0.12400324,0.11571063,0.08441548,0.1562993,0.13234131,0.038040925,0.09102857,0.02177343,0.09487676
2022-05,0.15454857,0.12778221,0.15244624,0.101086445,0.12065141,0.12729624,0.044587232,0.08351201,0.023448374,0.06464135
2022-06,0.14848356,0.109435916,0.1444637,0.0982695,0.16292344,0.088645205,0.04269536,0.0875371,0.044544674,0.07300148
2022-07,0.13565113,0.12891415,0.17993033,0.088137224,0.14508796,0.0740549,0.050786193,0.0945454,0.022889802,0.08000286
2022-08,0.06879024,0.11932891,0.17835987,0.08087829,0.14092268,0.094544046,0.07555116,0.075913474,0.017355625,0.14835571
2022-09,0.13868098,0.1286202,0.15914452,0.12535428,0.12617506,0.091074094,0.042237297,0.076889746,0.030696208,0.08112749
2022-10,0.101504244,0.08377043,0.1512055,0.16821289,0.12613769,0.10316862,0.0355835,0.08772612,0.018916685,0.123774245
2022-11,0.17603543,0.07162429,0.15940677,0.14270574,0.12201665,0.11087845,0.012564295,0.083552845,0.05449177,0.066723734
2022-12,0.17863849,0.11523064,0.13789546,0.116852455,0.11183059,0.10197955,0.026573922,0.08331287,0.04575397,0.081932105
2023-01,0.12023823,0.09287112,0.16759032,0.12975615,0.12603731,0.10847761,0.013436596,0.12152509,0.016300185,0.103767365
2023-02,0.09516108,0.13227613,0.14418255,0.11753658,0.14575438,0.12833057,0.015768925,0.088110305,0.016680157,0.11619932
2023-03,0.1589574,0.10339563,0.13257906,0.10567552,0.15819487,0.08299217,0.017521331,0.0883553,0.025723841,0.12660488
2023-04,0.11687152,0.11113027,0.21251832,0.12238636,0.11099766,0.08543138,0.017149666,0.0792813,0.034425456,0.109808035
2023-05,0.1803669,0.09806265,0.15557036,0.11643387,0.12366683,0.07289265,0.016948845,0.10682408,0.0391606,0.090073444
2023-06,0.114051096,0.08896568,0.21963765,0.13530442,0.13973449,0.08882363,0.013581289,0.06883453,0.024224306,0.106842995
2023-07,0.12942986,0.11777693,0.15407322,0.11175687,0.13486914,0.11355521,0.01597963,0.07689003,0.02776945,0.11789962
2023-08,0.13721135,0.06517962,0.19752216,0.14314142,0.14625834,0.06773634,0.033524495,0.060584188,0.013970927,0.13487104
2023-09,0.20766081,0.10620788,0.15978834,0.1253842,0.11462265,0.07191189,0.023225367,0.070065655,0.039303705,0.081829496
2023-10,0.116024,0.08647678,0.18894865,0.098491795,0.11835879,0.19039245,0.019925056,0.07437153,0.018055936,0.08895489
2023-11,0.18267521,0.07789922,0.16954468,0.12789401,0.0968205,0.13396531,0.014440019,0.081667416,0.030140301,0.08495333
2023-12,0.14366756,0.069307625,0.17994653,0.09444175,0.14733891,0.14984708,0.013767722,0.08697885,0.03194205,0.0827618
