date,ec_topic_0,ec_topic_1,ec_topic_2,ec_topic_3,ec_topic_4,ec_topic_5,ec_topic_6,ec_topic_7,ec_topic_8,ec_topic_9
2021-01,0.111043684,0.001120578,0.16403668,0.0011205658,0.010793071,0.0011205865,0.37690744,0.02309098,0.3096459,0.0011205954
2021-02,0.03346681,0.00046070572,0.15755159,0.07880465,0.00046069495,0.04940424,0.19692408,0.00046070112,0.48200583,0.00046070636
2021-03,0.014061855,0.033257987,0.055743184,0.10312618,0.0055622915,0.12837547,0.15769684,0.019543521,0.4818883,0.00074441434
2021-04,0.029037341,0.0007899203,0.10574289,0.055863168,0.015802367,0.0054694265,0.26908693,0.0007899712,0.5166281,0.0007899371
2021-05,0.020462673,0.0003869134,0.30164415,0.11567297,0.00038693022,0.0003869121,0.13326176,0.00084898935,0.41421485,0.012733846
2021-06,0.00046080936,0.00046078613,0.054071516,0.035819594,0.00046080057,0.10160234,0.21006256,0.00046082164,0.59465456,0.0019462095
2021-07,0.07309649,0.00030725263,0.03976036,0.042533867,0.008583324,0.00899431,0.33700716,0.00030723523,0.47531605,0.014093941
2021-08,0.050249808,0.00035253254,0.06511722,0.072004534,0.00035254023,0.038170345,0.20551698,0.015313676,0.5369767,0.015945647
2021-09,0.13498424,0.010526872,0.21066429,0.10742102,0.014960966,0.07087242,0.048729464,0.00038406302,0.36087266,0.040583994
2021-10,0.06570682,0.008420315,0.12873551,0.057967294,0.004602524,0.034826186,0.14794272,0.03525276,0.5077367,0.008809161
2021-11,0.00093932153,0.0009394044,0.09657729,0.090655886,0.0009392742,0.07049506,0.13970238,0.007890411,0.5861899,0.0056710714
2021-12,0.11133304,0.00040130015,0.015012363,0.04731786,0.0019774726,0.047052477,0.21235436,0.03821434,0.5161142,0.010222596
2021-13,0.05332629,0.010177215,0.0005360765,0.00053605426,0.0026994569,0.06950889,0.21508287,0.021142678,0.58997166,0.03701881
2021-14,0.13879532,0.00025079062,0.052813392,0.0002508112,0.121807545,0.039344344,0.1159116,0.056422655,0.47415274,0.00025080168
2021-15,0.0006668992,0.0006668311,0.039482877,0.00066694285,0.0006668743,0.0006668962,0.6228508,0.0006668857,0.33299807,0.00066690287
2021-16,0.052067317,0.007527529,0.06666343,0.0831411,0.0050873356,0.028373215,0.17178245,0.028504904,0.5453073,0.011545475
2021-17,0.027732698,0.024752945,0.15079287,0.109302275,0.0005972483,0.056952924,0.07381396,0.07252476,0.48293307,0.0005972248
2021-18,0.080909394,0.00034452375,0.05903433,0.10538157,0.00034452634,0.048798513,0.18159708,0.009236339,0.5095645,0.0047892155
2021-19,0.029715491,0.00042706967,0.4497631,0.13165921,0.0004271163,0.10734297,0.00042712459,0.01594928,0.2638616,0.00042707782
2021-20,0.16821635,0.002978752,0.036350127,0.028833413,0.010180136,0.0034536035,0.2916871,0.00034042803,0.44532326,0.012636787
2021-21,0.080990516,0.0006928658,0.12161153,0.051315032,0.013283557,0.10306541,0.09089184,0.0064350185,0.52449757,0.007216649
2021-22,0.12542467,0.0031354271,0.04868805,0.068010874,0.008434877,0.017391816,0.12422721,0.00040318852,0.57284003,0.03144383
2021-23,0.08740369,0.00022868079,0.01755924,0.077740766,0.064325586,0.0065272194,0.16197021,0.035506014,0.5485099,0.00022868397
2021-24,0.041631185,0.01064353,0.06125849,0.0648114,0.011148444,0.020809967,0.086311616,0.030719807,0.66992176,0.0027438104
2021-25,0.00049810903,0.004528286,0.07488771,0.09498219,0.014898502,0.02297623,0.042769074,0.03249761,0.71146417,0.00049809535
2021-26,0.00040879878,0.019931313,0.051011097,0.08406404,0.03577267,0.04033977,0.122735925,0.016777327,0.62855023,0.00040878312
2021-27,0.04129058,0.001157459,0.05327791,0.07143023,0.017304894,0.047092482,0.1348125,0.036594465,0.59566367,0.0013757924
2021-28,0.00836071,0.014483902,0.20707615,0.10831083,0.007246646,0.0029794646,0.024786016,0.008245442,0.6085579,0.00995292
2021-29,0.03265351,0.03947192,0.04306017,0.015340405,0.031160958,0.01917612,0.14183414,0.025706585,0.60859513,0.043001078
2021-30,0.026584458,0.0012211476,0.19378236,0.0012211936,0.048297253,0.0012213221,0.16437711,0.001221214,0.56085277,0.0012211975
2021-31,0.00040530256,0.008056764,0.00040528705,0.0004052916,0.05461008,0.00040529226,0.13679744,0.00040529948,0.7979989,0.00051030016
2021-32,0.00036206533,0.00036214077,0.00036212264,0.0003621006,0.034081027,0.0003620723,0.00036211187,0.030160898,0.9194925,0.0140929865
2021-33,0.007504558,0.0052119037,0.06468391,0.04813804,0.041859847,0.047137804,0.02266148,0.0014985435,0.760947,0.0003569395
2021-34,0.021221614,0.00036568777,0.08157147,0.015013506,0.031700544,0.13184883,0.07941161,0.010044484,0.6284566,0.00036566035
2021-35,0.0003864165,0.00038637628,0.00038640018,0.00038640475,0.016336227,0.0003864058,0.218495,0.00038640838,0.7624639,0.00038643414
2021-36,0.0003243385,0.00032434834,0.00032434106,0.00032433728,0.081406265,0.0003243353,0.00032436455,0.00032434682,0.90944934,0.0068740095
2021-37,0.041714046,0.016535195,0.07868879,0.057694204,0.064983115,0.008979006,0.04360487,0.017572954,0.6691739,0.0010538927
2021-38,0.3512427,0.009712775,0.11927139,0.022255087,0.00049991865,0.022472404,0.11359375,0.0004999127,0.3593228,0.0011292881
2021-39,0.010022178,0.00027261392,0.01953951,0.10971503,0.028898656,0.04724262,0.08219679,0.036704294,0.66418165,0.0012266933
2021-40,0.030410983,0.014876167,0.06708464,0.05593151,0.021405281,0.026434727,0.032606598,0.06208196,0.6690594,0.020108722
2021-41,0.07039026,0.011269169,0.1383471,0.045919415,0.038164437,0.12299256,0.018340498,0.028827326,0.52519363,0.00055557286
2021-42,0.05059157,0.0054857987,0.08224048,0.011461436,0.0034379312,0.054047294,0.09995554,0.07300163,0.61780816,0.001970187
2021-43,0.05668497,0.00024833222,0.030632704,0.066394165,0.00024834063,0.0144261625,0.18352923,0.022354076,0.61735713,0.008124917
2021-44,0.12118403,0.0021299461,0.06393438,0.105205335,0.010705608,0.01397883,0.013706055,0.0024875903,0.6497569,0.016911367
2021-45,0.03434894,0.0017528805,0.14909069,0.050223004,0.003668245,0.15617965,0.09705492,0.0351683,0.45916942,0.013343965
2021-46,0.08336414,0.046729162,0.10837508,0.15309599,0.0017550829,0.11222345,0.065842524,0.0017407712,0.4261757,0.000698132
2021-47,0.1748207,0.005137057,0.0140024815,0.03379733,0.02346015,0.1294586,0.22271563,0.028704334,0.3671306,0.0007730808
2021-48,0.103910364,0.0022381104,0.04906449,0.06400403,0.009680091,0.059630238,0.12840316,0.02112743,0.55959404,0.0023480149
2021-49,0.03099711,0.025790172,0.12566184,0.07520889,0.013263538,0.07863044,0.13502048,0.045064274,0.44545957,0.024903722
2021-50,0.05405967,0.0023232352,0.027787056,0.017667374,0.03139941,0.13236472,0.1474866,0.0027853795,0.5795255,0.004601076
2021-51,0.13425292,0.028787266,0.0911935,0.047021672,0.014246638,0.00061794557,0.33301818,0.00050906476,0.34661844,0.003734365
2022-00,0.14531901,0.00024886668,0.100279145,0.07428754,0.0002488394,0.0002488521,0.0002488634,0.00024885443,0.6372891,0.041580867
2022-01,0.03930079,0.000990544,0.009180933,0.0009906432,0.0009906443,0.036338445,0.2517233,0.103249826,0.4901772,0.06705768
2022-02,0.0020921826,0.07919636,0.34452444,0.0020921566,0.0020920502,0.37525934,0.0020922895,0.040706165,0.14985272,0.0020922748
2022-03,0.00057900336,0.025163222,0.2709542,0.09753941,0.012501895,0.026769886,0.04503084,0.0005789421,0.51369035,0.007192281
2022-04,0.045133796,0.00504512,0.23766206,0.051648084,0.012844804,0.19300832,0.0042495793,0.0040888805,0.4455922,0.000727191
2022-05,0.011331918,0.00045178962,0.11943735,0.037618108,0.06437379,0.21084523,0.08586571,0.013550131,0.44589615,0.010629835
2022-06,0.12359741,0.00055488327,0.06854476,0.10511215,0.0005548808,0.13665044,0.057903115,0.009510794,0.48391363,0.013657956
2022-07,0.07875187,0.019794224,0.0683741,0.085925825,0.0006730697,0.16253008,0.094205886,0.030404659,0.45866725,0.00067307707
2022-08,0.042990632,0.007823874,0.04026065,0.012620778,0.015442286,0.44891196,0.0008549921,0.0430973,0.38301498,0.0049825194
2022-09,0.0004133376,0.0065370887,0.04719375,0.0699718,0.014361418,0.3580303,0.0536884,0.016654875,0.42586148,0.007287548
2022-10,0.00044019168,0.0034639076,0.10439757,0.064545915,0.037719183,0.30804428,0.0046390756,0.022963453,0.44307974,0.0107067125
2022-11,0.008736228,0.00048029766,0.07652067,0.14161795,0.00048031134,0.038568296,0.037004214,0.0004803696,0.6099544,0.08615727
2022-12,0.14141662,0.004389245,0.042744022,0.050497517,0.033174757,0.2725323,0.02656624,0.005874499,0.41635314,0.006451654
