year_month,topic_share_0,topic_share_1,topic_share_2,topic_share_3,topic_share_4,topic_share_5,topic_share_6,topic_share_7,topic_share_8,topic_share_9
2021-01,0.042354112051106736,0.040730942915710014,0.06009260651390589,0.08228166407416601,0.16676001223090473,0.01395488919454106,0.1538569079987476,0.28970673820894466,0.10380354019929822,0.04645858661267495
2021-02,0.04678431061684964,0.04275208660615899,0.047514392482906447,0.11237628134557348,0.08357522688461479,0.022739190676371184,0.24854526454252793,0.3194121692275118,0.042215901641758105,0.03408517597572761
2021-03,0.04066854276707758,0.047985881820965165,0.070931632440635,0.102742236468181,0.08330955655151491,0.012317876506122906,0.24617090592186996,0.29423445730812553,0.039058512146570426,0.06258039806893749
2021-04,0.04827979327457862,0.11075201011043138,0.05929809972654919,0.08155202367963103,0.09804448343007728,0.02299251985723115,0.17744582116510488,0.25858159422846333,0.04787657475493325,0.09517707977299987
2021-05,0.0683666898996863,0.031031882758127547,0.06382044454433541,0.13107703310848634,0.08781947471794106,0.027623329902096136,0.18747960533786398,0.2608554360968671,0.06166648395723819,0.08025961967735791
2021-06,0.11577290740467083,0.06985158892193624,0.07550325156074568,0.10310191581673589,0.12103608327904136,0.02957695016750046,0.1049324839931786,0.22584476369627304,0.09994853539060504,0.05443151976931278
2021-07,0.04936623348110356,0.0710390244461632,0.07181205902464102,0.13863325078187397,0.10039128815280919,0.022210497918213615,0.14716612336685483,0.26781376539782864,0.061642452105994214,0.06992530532451774
2021-08,0.04881154093426904,0.07844910489620611,0.05462721826662114,0.09846877437989181,0.10364401537595831,0.042002268127053106,0.1824859468104893,0.26876378136224494,0.03593367123171749,0.08681367861554869
2021-09,0.11541739686099699,0.08142221322245845,0.05239266946905785,0.09971010095366682,0.094391056497046,0.031631581216187976,0.1247167893607739,0.2634545892150161,0.08936872084772196,0.04749488235707388
2021-10,0.0794874364863602,0.05809117151728344,0.06829461215272972,0.1403284944306258,0.0996995066292157,0.015508925496615016,0.10955107513368789,0.25041797072098004,0.07681697779625452,0.10180382963624761
2021-11,0.07063073873900018,0.061843189535729405,0.066998696803591,0.14526362826882522,0.0754047298587912,0.017775365227107664,0.13749649808294084,0.2253179476077088,0.08143299180974672,0.11783621406655913
2021-12,0.07730171474920201,0.06141492554704454,0.07039531530140879,0.10285064425999746,0.15008970822834714,0.03823064505525417,0.16415546577254697,0.22892893094484396,0.04523953623813014,0.061393113903224945
2022-01,0.040109967128684615,0.0924092643887372,0.06199942869402152,0.1157209410871186,0.12900479545235063,0.045988043077511975,0.11940932397736974,0.27534437056018035,0.0387098360340797,0.08130402959994555
2022-02,0.03774646676388392,0.059140858389838374,0.04634071868679888,0.08222663928643419,0.12711915070723967,0.12070977806854712,0.07344690356084829,0.3078249327014886,0.0712783358248947,0.07416621601002624
2022-03,0.045405857848472696,0.06033703194388532,0.08561643609562027,0.10355581494835821,0.1386695986376202,0.13080632686289947,0.05463966276706207,0.22364663599475598,0.06034617978796745,0.09697645511335831
2022-04,0.05495788603282418,0.06556478997211634,0.05893898920174638,0.13096477059152978,0.156709627719792,0.07995002904660418,0.06684951623489012,0.2509902765502896,0.050635963533187146,0.08443815111702042
2022-05,0.13148108885945625,0.05066088113915421,0.08282584681557655,0.12601153753369254,0.13113083163370828,0.06725023708577152,0.06212363639219978,0.2242565667645005,0.058499599128569876,0.06575977464737043
2022-06,0.10678481658667341,0.05548051185667249,0.08295425382557206,0.12593937862355803,0.13190769231615215,0.06278846383459769,0.06267603751642889,0.2082196239938619,0.09809505012644672,0.06515417132003662
2022-07,0.07872585247044055,0.0644903347918068,0.10927829152128214,0.13132663639895265,0.13415173556815113,0.043920911058800784,0.05808840180289543,0.25870307283224137,0.04521873365144054,0.07609602990398848
2022-08,0.027441538694631777,0.0739170089950623,0.08297659642937233,0.1452774312446468,0.14444424417473295,0.026853616720669028,0.09012622931477327,0.25332970903826346,0.027879047277963722,0.12775457810988441
2022-09,0.08197200670716613,0.07332929406103462,0.11318946177471294,0.17212010565825564,0.1272278901592195,0.045836890274791466,0.05558155352589896,0.1959228560937129,0.050260473604567764,0.08455946814064003
2022-10,0.04506231975432863,0.041827992972748446,0.10791005439724823,0.23048870875406263,0.10534917198728412,0.04660623393028355,0.04638710777293019,0.18827275446645264,0.06663190879215321,0.12146374717250835
2022-11,0.12313417601633246,0.0225272514275878,0.08130483320361907,0.19361151504515695,0.1121179358722622,0.04547918640351724,0.019224620044244155,0.1904170511800417,0.12784124533248323,0.08434218547475504
2022-12,0.11938688594175777,0.05081127725381741,0.08191038875118747,0.12338889431046632,0.08793884948098608,0.06306438102471028,0.036168437878371464,0.23715861520174772,0.14063357593862752,0.05953869421832783
2023-01,0.05226451533725808,0.07679652730107174,0.08190790947725718,0.18061726772893688,0.08846004901151336,0.046410802385898356,0.009142193793961266,0.3472791074630089,0.032131898881283094,0.08498972861981142
2023-02,0.03738277306476719,0.06283323177731448,0.09624964587820965,0.15640807551690517,0.1617998905064612,0.06686466798778087,0.020313837541937087,0.2098003009637956,0.054817051532036906,0.13353052523079187
2023-03,0.10575028970608702,0.056698462860162016,0.10601255027108375,0.14121615403781498,0.150087802372984,0.04480415527771056,0.013941241019117109,0.2048197690477737,0.0639253316717787,0.11274424373548815
2023-04,0.06564670354544568,0.08189663664493352,0.14115596110706538,0.1550238361462187,0.1245198771717357,0.035702568466888365,0.008639522161770637,0.23647647696957444,0.047107014824958125,0.10383140296140944
2023-05,0.15031384009541235,0.05037775032847389,0.08902633879285621,0.12925582955638734,0.12718532326755522,0.043820409021220544,0.016365545193237987,0.2384865699337399,0.07675642303805484,0.07841197077306165
2023-06,0.08607556158090596,0.048415569717800366,0.11268736470989046,0.19738545442558592,0.12238067527101922,0.05525724839833039,0.008128804586941058,0.19795507268996834,0.07692279792433189,0.09479145069522626
2023-07,0.08894186542333091,0.06724132556705327,0.10622792113686975,0.14549142501983944,0.12382113830613026,0.06423034554795586,0.015303047464138606,0.2073568819943839,0.08432444480733614,0.09706160473296192
2023-08,0.0767228335489941,0.02897868876300301,0.12149123336111668,0.1835729009239972,0.13334136991145595,0.02817559908214299,0.02922042750233805,0.17314401406364568,0.024680535128487138,0.20067239771481923
2023-09,0.13742356754842178,0.059694012976922846,0.11289979054077158,0.19297795898219075,0.10578913852405103,0.04149901776759855,0.016267348763056827,0.18552877044644978,0.07826805762336393,0.06965233682717291
2023-10,0.08853730121401963,0.032958747024690656,0.11361515373234364,0.14849062166697213,0.09913999151120857,0.09610909815275337,0.010647910339789391,0.24640588950008577,0.09305170888270224,0.07104357797543448
2023-11,0.13707587737405894,0.03716562660377607,0.09247665711087258,0.15100738774164618,0.0857911125330291,0.06524705630278552,0.012183895134067486,0.23084399900169925,0.1015537427633983,0.08665464543466654
